FlipFlop,0,1000,0,215,3849,1411,0.215000,3.849000,6.562791
FlipFlop,1,825,756,350,12853,11271,0.462963,17.001323,32.202857
FlipFlop,2,423,358,164,7671,6214,0.458101,21.427374,37.890244
FlipFlop,3,220,163,58,6115,1615,0.355828,37.515337,27.844828
Kingfish,0,1000,0,132,3274,1280,0.132000,3.274000,9.696970
Kingfish,1,825,466,125,3405,2823,0.268240,7.306867,22.584000
Kingfish,2,423,200,42,1361,1158,0.210000,6.805000,27.571429
Kingfish,3,220,112,16,1366,1179,0.142857,12.196429,73.687500
FoldBot,0,1000,0,573,17028,13291,0.573000,17.028000,23.195462
FoldBot,1,697,634,344,17779,12445,0.542587,28.042587,36.177326
FoldBot,2,354,250,122,4416,2897,0.488000,17.664000,23.745902
FoldBot,3,243,140,65,2916,2593,0.464286,20.828571,39.892308
panda,0,1000,0,527,12822,10781,0.527000,12.822000,20.457306
panda,1,697,493,254,15015,14342,0.515213,30.456389,56.464567
panda,2,354,160,29,3303,3217,0.181250,20.643750,110.931034
panda,3,243,86,15,1004,955,0.174419,11.674419,63.666667
Halos,0,1000,0,86,18833,17108,0.086000,18.833000,198.930233
Halos,1,523,237,0,1388,0,0.000000,5.856540,0.000000
Halos,2,366,202,0,2243,0,0.000000,11.103960,0.000000
Halos,3,266,178,0,5083,0,0.000000,28.556180,0.000000
panda,0,1000,0,487,5027,2891,0.487000,5.027000,5.936345
panda,1,523,363,213,19573,19331,0.586777,53.920110,90.755869
panda,2,366,203,105,9468,9360,0.517241,46.640394,89.142857
panda,3,266,108,56,5716,5716,0.518519,52.925926,102.071429
FoldBot,0,1000,0,632,28721,26389,0.632000,28.721000,41.754747
FoldBot,1,797,726,424,16107,12186,0.584022,22.185950,28.740566
FoldBot,2,537,365,221,3926,3434,0.605479,10.756164,15.538462
FoldBot,3,400,246,144,3892,3155,0.585366,15.821138,21.909722
HandBanana,0,1000,0,263,25388,14201,0.263000,25.388000,53.996198
HandBanana,1,797,568,205,19524,17546,0.360915,34.373239,85.590244
HandBanana,2,537,268,46,4445,4047,0.171642,16.585821,87.978261
HandBanana,3,400,180,25,2524,2211,0.138889,14.022222,88.440000
FlipFlop,0,1000,0,198,3735,1261,0.198000,3.735000,6.368687
FlipFlop,1,810,744,360,16269,13889,0.483871,21.866935,38.580556
FlipFlop,2,428,372,173,7816,6060,0.465054,21.010753,35.028902
FlipFlop,3,230,174,65,6594,2606,0.373563,37.896552,40.092308
Kingfish,0,1000,0,145,3222,1349,0.145000,3.222000,9.303448
Kingfish,1,810,476,123,3306,2673,0.258403,6.945378,21.731707
Kingfish,2,428,203,41,1262,489,0.201970,6.216749,11.926829
Kingfish,3,230,96,15,789,485,0.156250,8.218750,32.333333
mavs,0,1000,0,301,4974,2291,0.301000,4.974000,7.611296
mavs,1,634,507,174,5130,3897,0.343195,10.118343,22.396552
mavs,2,454,352,147,5585,4338,0.417614,15.866477,29.510204
mavs,3,341,245,141,4977,4033,0.575510,20.314286,28.602837
Halos,0,1000,0,88,19277,17512,0.088000,19.277000,199.000000
Halos,1,634,300,0,1400,0,0.000000,4.666667,0.000000
Halos,2,454,221,0,2050,0,0.000000,9.276018,0.000000
Halos,3,341,185,0,3539,0,0.000000,19.129730,0.000000
Halos,0,1000,0,82,18344,16312,0.082000,18.344000,198.926829
Halos,1,506,247,0,1309,0,0.000000,5.299595,0.000000
Halos,2,335,211,0,2187,0,0.000000,10.364929,0.000000
Halos,3,256,188,0,5261,0,0.000000,27.984043,0.000000
panda,0,1000,0,499,4968,3577,0.499000,4.968000,7.168337
panda,1,506,348,214,19368,18998,0.614943,55.655172,88.775701
panda,2,335,190,88,7842,7842,0.463158,41.273684,89.113636
panda,3,256,109,47,5311,5311,0.431193,48.724771,113.000000
Chronokeeper,0,1000,0,466,6305,3915,0.466000,6.305000,8.401288
Chronokeeper,1,663,601,280,4074,2631,0.465890,6.778702,9.396429
Chronokeeper,2,386,337,108,3369,1846,0.320475,9.997033,17.092593
Chronokeeper,3,257,216,42,1731,619,0.194444,8.013889,14.738095
Kingfish,0,1000,0,124,3493,1261,0.124000,3.493000,10.169355
Kingfish,1,663,412,92,2518,2308,0.223301,6.111650,25.086957
Kingfish,2,386,158,40,1075,923,0.253165,6.803797,23.075000
Kingfish,3,257,91,16,905,759,0.175824,9.945055,47.437500
FlipFlop,0,1000,0,219,3835,1334,0.219000,3.835000,6.091324
FlipFlop,1,658,573,258,10611,9353,0.450262,18.518325,36.251938
FlipFlop,2,350,228,120,7368,4931,0.526316,32.315789,41.091667
FlipFlop,3,208,115,46,7268,2165,0.400000,63.200000,47.065217
SuperDuper,0,1000,0,280,5013,3280,0.280000,5.013000,11.714286
SuperDuper,1,658,572,227,3556,2335,0.396853,6.216783,10.286344
SuperDuper,2,350,266,103,3730,2819,0.387218,14.022556,27.368932
SuperDuper,3,208,132,61,3352,2658,0.462121,25.393939,43.573770
FlipFlop,0,1000,0,217,3995,1433,0.217000,3.995000,6.603687
FlipFlop,1,683,592,274,13184,11536,0.462838,22.270270,42.102190
FlipFlop,2,378,252,117,7759,4487,0.464286,30.789683,38.350427
FlipFlop,3,228,139,53,8246,2196,0.381295,59.323741,41.433962
SuperDuper,0,1000,0,270,4969,3225,0.270000,4.969000,11.944444
SuperDuper,1,683,578,243,4523,2672,0.420415,7.825260,10.995885
SuperDuper,2,378,273,128,5215,4111,0.468864,19.102564,32.117188
SuperDuper,3,228,146,73,4505,3363,0.500000,30.856164,46.068493
FoldBot,0,1000,0,542,14917,12681,0.542000,14.917000,23.396679
FoldBot,1,689,632,386,13871,12165,0.610759,21.947785,31.515544
FoldBot,2,433,312,240,3817,3654,0.769231,12.233974,15.225000
FoldBot,3,305,220,143,2483,2141,0.650000,11.286364,14.972028
SuperDuper,0,1000,0,232,5756,3295,0.232000,5.756000,14.202586
SuperDuper,1,689,528,199,4454,2661,0.376894,8.435606,13.371859
SuperDuper,2,433,310,101,3615,2645,0.325806,11.661290,26.188119
SuperDuper,3,305,213,69,3811,3000,0.323944,17.892019,43.478261
Halos,0,1000,0,98,21273,19511,0.098000,21.273000,199.091837
Halos,1,547,237,0,1135,0,0.000000,4.789030,0.000000
Halos,2,363,131,0,1874,0,0.000000,14.305344,0.000000
Halos,3,265,129,0,4667,0,0.000000,36.178295,0.000000
SuperDuper,0,1000,0,166,3039,1542,0.166000,3.039000,9.289157
SuperDuper,1,547,519,244,2411,1706,0.470135,4.645472,6.991803
SuperDuper,2,363,318,158,3566,2728,0.496855,11.213836,17.265823
SuperDuper,3,265,208,116,5377,4332,0.557692,25.850962,37.344828
mavs,0,1000,0,297,4736,2471,0.297000,4.736000,8.319865
mavs,1,609,457,154,3356,2027,0.336980,7.343545,13.162338
mavs,2,373,225,92,3445,2218,0.408889,15.311111,24.108696
mavs,3,200,104,57,3778,2577,0.548077,36.326923,45.210526
SuperDuper,0,1000,0,199,4072,2232,0.199000,4.072000,11.216080
SuperDuper,1,609,495,215,3383,2107,0.434343,6.834343,9.800000
SuperDuper,2,373,253,132,3822,3014,0.521739,15.106719,22.833333
SuperDuper,3,200,122,62,2938,2285,0.508197,24.081967,36.854839
panda,0,1000,0,651,7788,6315,0.651000,7.788000,9.700461
panda,1,431,338,190,18605,18551,0.562130,55.044379,97.636842
panda,2,159,73,27,2498,2387,0.369863,34.219178,88.407407
panda,3,85,27,7,946,813,0.259259,35.037037,116.142857
SuperDuper,0,1000,0,142,3071,1503,0.142000,3.071000,10.584507
SuperDuper,1,431,191,161,2702,2052,0.842932,14.146597,12.745342
SuperDuper,2,159,65,43,1868,1268,0.661538,28.738462,29.488372
SuperDuper,3,85,25,18,1322,1234,0.720000,52.880000,68.555556
mavs,0,1000,0,247,5585,2272,0.247000,5.585000,9.198381
mavs,1,643,490,169,10856,6253,0.344898,22.155102,37.000000
mavs,2,358,241,115,5675,3471,0.477178,23.547718,30.182609
mavs,3,213,115,61,3075,2120,0.530435,26.739130,34.754098
panda,0,1000,0,480,6338,4481,0.480000,6.338000,9.335417
panda,1,643,442,220,14205,13724,0.497738,32.138009,62.381818
panda,2,358,161,63,7171,6946,0.391304,44.540373,110.253968
panda,3,213,61,22,2128,1918,0.360656,34.885246,87.181818
Prime,0,1000,0,428,26627,16363,0.428000,26.627000,38.231308
Prime,1,674,546,186,26015,14140,0.340659,47.646520,76.021505
Prime,2,545,346,78,13048,6157,0.225434,37.710983,78.935897
